ZNF263	O14978
HNRNPDL	O14979
BTAF1	O14981
PIP5K1B	O14986
ARHGEF10	O15013
TRIM66	O15016
PDZD2	O15018
SPTBN2	O15020
MAST4	O15021
PLXNB2	O15031
AREL1	O15033
RIMBP2	O15034
KHNYN	O15037
TECPR2	O15040
SEMA3E	O15041
U2SURP	O15042
SETD1A	O15047
TRANK1	O15050
KDM6B	O15054
ZBTB39	O15060
ZBTB5	O15062
KIF3B	O15066
PFAS	O15067
MCF2L	O15068
NACAD	O15069
DCLK1	O15075
ANKRD28	O15084
ARHGEF11	O15085
ZNF536	O15090
CHUK	O15111
LSM1	O15116
FYB	O15117
ANGPT2	O15123
KPNA5	O15131
ARPC1B	O15143
ARPC2	O15144
ARPC3	O15145
MUSK	O15146
MDM4	O15151
ZBTB7B	O15156
POLR1C	O15160
TRIM24	O15164
AXIN1	O15169
CETN3	O15182
CTDSPL	O15194
VILL	O15195
EPHB6	O15197
ADAMDEC1	O15204
UBD	O15205
ZBTB22	O15209
RGL2	O15211
WDR46	O15213
GSTA4	O15217
GPR182	O15218
LAMA5	O15230
ZNF185	O15231
MATN3	O15232
SLC22A2	O15244
CLIC2	O15247
ACOX3	O15254
NPHP1	O15259
MAPK13	O15264
SHOX	O15266
SPTLC1	O15269
SPTLC2	O15270
TCAP	O15273
OGT	O15294
GRM6	O15303
CHAD	O15335
MID1	O15344
HMGB3	O15347
TP73	O15350
GPR37	O15354
INPPL1	O15357
SOX12	O15370
EIF3H	O15372
SLC16A5	O15375
HDAC3	O15379
NVL	O15381
YY2	O15391
BIRC5	O15392
TMPRSS2	O15393
NCAM2	O15394
GRIN2D	O15399
STX7	O15400
TOX3	O15405
ABCC3	O15438
ABCC4	O15439
ABCC5	O15440
CCL25	O15444
TLR3	O15455
MSH4	O15457
P4HA2	O15460
CCL16	O15467
CAPN5	O15484
RGS16	O15492
PLA2G10	O15496
GSC2	O15499
ARPC5	O15511
POLR2D	O15514
CFLAR	O15519
FGF10	O15520
NKX2-8	O15522
DDX3Y	O15523
SOCS1	O15524
MAFG	O15525
GPR42	O15529
PDPK1	O15530
ZSCAN9	O15535
RS1	O15537
RGS5	O15539
FABP7	O15540
RNF113A	O15541
KDM6A	O15550
MEFV	O15553
KCNN4	O15554
DHX15	O43143
SGSM2	O43147
ZZEF1	O43149
ASAP2	O43150
FLRT2	O43155
PLXNB1	O43157
PJA2	O43164
SIPA1L1	O43166
ZBTB24	O43167
CYB5B	O43169
PRPF4	O43172
ARHGAP6	O43182
ADAM12	O43184
CRX	O43186
IRAK2	O43187
PHF1	O43189
MLNR	O43193
GPR39	O43194
MSH5	O43196
SEPT4	O43236
DYNC1LI2	O43237
KLK10	O43240
PSMD3	O43242
SLC7A4	O43246
HOXC11	O43248
RBFOX2	O43251
SIAH2	O43255
ZNHIT1	O43257
SPINT1	O43278
EFS	O43281
MAP3K13	O43283
B4GALT5	O43286
SPINT2	O43291
DAPK3	O43293
TGFB1I1	O43294
SRGAP3	O43295
ZNF264	O43296
ZBTB43	O43298
LRRTM2	O43300
HSPA12A	O43301
SEC14L5	O43304
ADCY6	O43306
ARHGEF9	O43307
ZSCAN12	O43309
MTSS1	O43312
AQP9	O43315
PAX4	O43316
MAP3K7	O43318
FGF16	O43320
DHH	O43323
ZNF208	O43345
MSI1	O43347
RIPK2	O43353
ZNF749	O43361
HOXA2	O43364
HOXA3	O43365
WDR62	O43379
HNRNPR	O43390
TXNL1	O43396
COCH	O43405
ERI3	O43414
ANP32C	O43423
GRID2	O43424
EIF4G3	O43432
PPIH	O43447
SUV39H1	O43463
HTRA2	O43464
KLF4	O43474
EPB41L2	O43491
CACNA1G	O43497
TNFSF12	O43508
KCNQ3	O43525
KCNQ2	O43526
TNFSF14	O43557
FRS3	O43559
RGS14	O43566
CA12	O43570
AKAP10	O43572
SYT7	O43581
PSTPIP1	O43586
DCX	O43602
GALR2	O43603
HCRTR1	O43613
HCRTR2	O43614
SNAI2	O43623
CHMP2A	O43633
NCK2	O43639
PLRG1	O43660
PRC1	O43663
RGS10	O43665
BUB1	O43683
SIGLEC6	O43699
ACTN4	O43707
GSTZ1	O43708
TLX3	O43711
HTATSF1	O43719
CYTH3	O43739
PRKAB2	O43741
CHP2	O43745
AP1G1	O43747
OR1F1	O43749
STX6	O43752
TLX2	O43763
SGTA	O43765
NARS	O43776
DYRK3	O43781
SPOP	O43791
NUDT21	O43809
DUX1	O43812
RRP9	O43818
SCO2	O43819
HYAL3	O43820
C21orf2	O43822
GTPBP6	O43824
ANGPTL7	O43827
ZBTB14	O43829
ZNF73	O43830
NRD1	O43847
CALU	O43852
EDIL3	O43854
AHCYL1	O43865
CD5L	O43866
OR2T1	O43869
TLL1	O43897
PRICKLE3	O43900
FIGF	O43915
EFNA2	O43921
PDE6D	O43924
CXCL13	O43927
ORC4	O43929
PRKY	O43930
PEX1	O43933
KALRN	O60229
DHX16	O60231
GMFG	O60234
TMPRSS11D	O60235
PPP1R12B	O60237
BAI3	O60242
PCDH7	O60245
SOX15	O60248
PRPSAP2	O60256
FGF17	O60258
KLK8	O60259
PARK2	O60260
SMARCA5	O60264
ADCY3	O60266
SPAG9	O60271
KIF5C	O60282
NUAK1	O60285
MGRN1	O60291
SIPA1L3	O60292
ZFC3H1	O60293
LCMT2	O60294
ZNF500	O60304
MAST3	O60307
LRRC37A3	O60309
OPA1	O60313
ZEB2	O60315
MCM3AP	O60318
PCDHGA12	O60330
KIF1B	O60333
MAPKBP1	O60336
KDM1A	O60341
TBC1D4	O60343
PHLPP1	O60346
NME2P1	O60361
GDF9	O60383
GRIN3B	O60391
NOBOX	O60393
OR10H2	O60403
OR10H3	O60404
OR7C2	O60412
ONECUT3	O60422
FADS1	O60427
OR1I1	O60431
PPL	O60437
EVI5	O60447
LY75	O60449
NRP2	O60462
DSCAM	O60469
DLX3	O60479
ZIC3	O60481
PLXNC1	O60486
MPZL2	O60487
CUBN	O60494
DOK2	O60496
STX10	O60499
NPHS1	O60500
ADCY9	O60503
SORBS3	O60504
SYNCRIP	O60506
CDC40	O60508
B4GALT3	O60512
B4GALT4	O60513
RANBP6	O60518
TDRD6	O60522
PSPN	O60542
CIDEA	O60543
GMDS	O60547
CCNT1	O60563
BUB1B	O60566
SPINK4	O60575
CCNT2	O60583
TLR5	O60602
TLR2	O60603
DIAPH1	O60610
EXOC3	O60645
PDE8A	O60658
KLHL41	O60662
LMX1B	O60663
FAIM3	O60667
JAK2	O60674
PRMT3	O60678
PEX10	O60683
KPNA6	O60684
SRPX2	O60687
UGDH	O60701
ABCC9	O60706
LPXN	O60711
CTNND1	O60716
CDC14B	O60729
PLA2G6	O60733
HCN1	O60741
SNX2	O60749
GALR3	O60755
CYTIP	O60759
HPGDS	O60760
USO1	O60763
ZNF354A	O60765
TOM1	O60784
HNRNPCL1	O60812
PRAMEF11	O60813
HIST1H2BK	O60814
CACNA1F	O60840
TRIM13	O60858
GAS7	O60861
EDF1	O60869
KIN	O60870
DIAPH2	O60879
SH2D1A	O60880
MMP20	O60882
GPR37L1	O60883
DNAJA2	O60884
BRD4	O60885
CUTA	O60888
OPHN1	O60890
RAMP1	O60894
RAMP2	O60895
RAMP3	O60896
SHOX2	O60902
TBL1X	O60907
B4GALT2	O60909
CTSV	O60911
PFDN1	O60925
RNASEH1	O60930
KERA	O60938
SCN2B	O60939
FCGR3B	O75015
LILRA1	O75019
LILRB3	O75022
LILRB5	O75023
ABCB7	O75027
PLCH2	O75038
SRGAP2	O75044
PLXNA2	O75051
IGSF3	O75054
DNAJC6	O75061
EFCAB14	O75071
LRP3	O75074
ADAM11	O75078
WDR1	O75083
FZD7	O75084
SLIT1	O75093
SLIT3	O75094
MEGF6	O75095
LRP4	O75096
LDB3	O75112
N4BP1	O75113
ROCK2	O75116
MFAP3L	O75121
ZNF623	O75123
PTCD1	O75127
COBL	O75128
CPNE3	O75131
ICOSLG	O75144
PPFIA3	O75145
HIP1R	O75146
OBSL1	O75147
RNF40	O75150
PHF2	O75151
CLUH	O75153
RAB11FIP3	O75154
SOCS5	O75159
KDM4A	O75164
DNAJC13	O75165
ANKRD17	O75179
SIN3B	O75182
ATP2C2	O75185
LRP5	O75197
ZNF780A	O75290
CDH16	O75309
GLRA3	O75311
USP12	O75317
DUSP11	O75319
GBAS	O75323
LRRN2	O75325
SEMA7A	O75326
PPFIA2	O75334
PPFIA4	O75335
PDCD6	O75340
GUCY1B2	O75343
FKBP6	O75344
ZNF253	O75346
TBCA	O75347
VPS4B	O75351
PROP1	O75360
PITX3	O75364
AVIL	O75366
H2AFY	O75367
FLNB	O75369
ZNF737	O75373
TRIM3	O75382
ULK1	O75385
GPR32	O75388
SEC22B	O75396
PRPF40A	O75400
HYPM	O75409
NME6	O75414
POLQ	O75417
FBXO24	O75426
LRCH4	O75427
MTX2	O75431
ZNF254	O75437
PMPCB	O75439
MAF	O75444
USH2A	O75445
KATNA1	O75449
RDH16	O75452
ERN1	O75460
CRLF1	O75462
ZNF324	O75467
NR1I2	O75469
LGR5	O75473
PSIP1	O75475
CA11	O75493
SRSF10	O75494
nan	O75505
TNFRSF21	O75509
ECI2	O75521
KHDRBS3	O75525
TAF5L	O75529
EED	O75530
BANF1	O75531
DAB1	O75553
STX11	O75558
SKAP2	O75563
PRKRA	O75569
ITGA10	O75578
LRP6	O75581
RPS6KA5	O75582
MYCBP2	O75592
CLEC3A	O75596
SPAG6	O75602
USP2	O75604
DEDD	O75618
PRDM1	O75626
REM1	O75628
SERPINB7	O75635
FCN3	O75636
CTAG2	O75638
TOM1L1	O75674
RPS6KA4	O75676
RFPL1	O75677
RFPL2	O75678
RFPL3	O75679
ADAP1	O75689
RP2	O75695
GPX5	O75715
STK16	O75716
WDHD1	O75717
SLC25A12	O75746
PIK3C2G	O75747
TRPA1	O75762
GRAP2	O75791
BCAR3	O75815
ZNF189	O75820
EIF3G	O75821
CBR3	O75828
PSMD10	O75832
CIB2	O75838
PPP1R37	O75864
CEACAM4	O75871
GATB	O75879
SCO1	O75880
ATRN	O75882
STAM2	O75886
TNFSF13	O75888
ALDH1L1	O75891
GABBR2	O75899
MMP23A	O75900
CCNK	O75909
DHRS3	O75911
DGKI	O75912
PAK3	O75914
RGS9	O75916
DYSF	O75923
PIAS1	O75925
PIAS2	O75928
DNAJC8	O75937
RAD17	O75943
ATP5H	O75947
LYZL6	O75951
DNAJB5	O75953
TSPAN9	O75954
TRIO	O75962
MPDZ	O75970
C1QL1	O75973
CPD	O75976
SASH3	O75995
OR2B3	O76000
OR2J3	O76001
OR2J2	O76002
GLRX3	O76003
ANXA9	O76027
CLPX	O76031
NCR1	O76036
CDKL5	O76039
NEBL	O76041
NEURL1	O76050
RNF8	O76064
CIAO1	O76071
RGS20	O76081
FGF18	O76093
SRP72	O76094
OR7C1	O76099
OR7A10	O76100
RECQL4	O94761
RECQL5	O94762
STK17B	O94768
ECM2	O94769
AQP8	O94778
CNTN5	O94779
USP1	O94782
STK10	O94804
ACTL6B	O94805
PRKD3	O94806
RGS11	O94810
BAIAP3	O94812
SLIT2	O94813
KBTBD11	O94819
LTN1	O94822
TOMM70A	O94826
PLEKHG5	O94827
IPO13	O94829
DDHD2	O94830
MYO1D	O94832
TOX4	O94842
RHOBTB1	O94844
MICAL2	O94851
SEC24D	O94855
NFASC	O94856
FCHSD2	O94868
SORBS2	O94875
SASH1	O94885
FARP2	O94887
UBXN7	O94888
KLHL18	O94889
ZNF432	O94892
LRIG2	O94898
TOX	O94900
PRPF6	O94906
ABCA8	O94911
PCF11	O94913
NFAT5	O94916
CDK14	O94921
GLS	O94925
ABLIM3	O94929
SLITRK3	O94933
UBOX5	O94941
FBXO21	O94952
KDM4B	O94953
RHOBTB3	O94955
USP19	O94966
WDR47	O94967
TRIM37	O94972
AP2A2	O94973
SEC31A	O94979
CAMTA2	O94983
CLSTN1	O94985
FAM13A	O94988
ARHGEF15	O94989
SLITRK5	O94991
HEXIM1	O94992
SOX30	O94993
OR2F2	O95006
OR6B1	O95007
OR4F21	O95013
SEMA3D	O95025
OR2A4	O95047
TJP3	O95049
DIRAS1	O95057
CCNB2	O95067
KCNK2	O95069
ALX3	O95076
AGFG2	O95081
PRSS23	O95084
NKX2-2	O95096
SCAF4	O95104
ZNF202	O95125
S1PR2	O95136
DUSP14	O95147
SNUPN	O95149
TNFSF15	O95150
BZRAP1	O95153
UBE4B	O95155
ZFPL1	O95159
IKBKAP	O95163
CDRT1	O95170
CACNA1H	O95180
UNC5C	O95185
CSPG5	O95196
KLHL2	O95198
RCBTB2	O95199
ZNF205	O95201
PCDH8	O95206
OR6A2	O95222
VENTX	O95231
KIF20A	O95235
SPDEF	O95238
KIF4A	O95239
SBF1	O95248
ABCC6	O95255
IL18RAP	O95256
KCNH1	O95259
PDE8B	O95263
HTR3B	O95264
RASGRP1	O95267
TNKS	O95271
LYPD3	O95274
EPM2A	O95278
KCNK5	O95279
RASAL1	O95294
MPZL1	O95297
NDUFA10	O95299
FKBP9	O95302
CELF2	O95319
ABCB11	O95342
SIX3	O95343
SMC2	O95347
TRIM16	O95361
ZBTB7A	O95365
OR2C1	O95371
MAP3K6	O95382
GDF11	O95390
BMP10	O95393
MOCS3	O95396
RAPGEF3	O95398
CD2BP2	O95400
ZFYVE9	O95405
TNFRSF6B	O95407
SOX14	O95416
SVIL	O95425
PAPLN	O95428
BAG4	O95429
GJB6	O95452
TGDS	O95455
MATN4	O95460
FMNL1	O95466
SIX6	O95475
ABCA1	O95477
SEC24A	O95486
ADGRL2	O95490
NPTXR	O95502
CBX6	O95503
PRAMEF12	O95522
TDP2	O95551
KLF8	O95600
POLR1A	O95602
ADCY5	O95622
ZBTB11	O95625
ANP32D	O95626
CNOT4	O95628
STAMBP	O95630
NTN1	O95631
FSTL3	O95633
NFATC1	O95644
DIRAS3	O95661
EYA4	O95677
BRD1	O95696
APBB3	O95704
LY86	O95711
HERC2	O95714
RAB3D	O95716
ESRRB	O95718
CRTAM	O95727
CPNE6	O95741
OXSR1	O95747
FGF19	O95750
SEMA4F	O95754
RAB36	O95755
HSPA4L	O95757
PTBP3	O95758
LSM8	O95777
ZNF682	O95780
AP2A1	O95782
DDX58	O95786
GPR75	O95800
TTC4	O95801
CER1	O95813
BAG2	O95816
BAG3	O95817
MAP4K4	O95819
CLIC3	O95833
EML2	O95834
LATS1	O95835
GNA14	O95837
ANGPTL1	O95841
GUCA1C	O95843
NUDT14	O95848
SNAI1	O95863
FADS2	O95864
GPANK1	O95872
WDPCP	O95876
OR2H2	O95918
EPPIN	O95925
CBX7	O95931
NCR2	O95944
ONECUT2	O95948
LGI1	O95970
BMP15	O95972
IGSF6	O95976
S1PR4	O95977
NUDT3	O95989
APC2	O95996
IL18BP	O95998
BCL10	O95999
NAPSA	O96009
PAK4	O96013
CHEK2	O96017
APBA3	O96018
ACTL6A	O96019
CCNE2	O96020
WHSC1	O96028
MT-CYB	P00156
CYB5A	P00167
ADH1B	P00325
ADH1C	P00326
DHFR	P00374
GSR	P00390
MT-CO1	P00395
MT-CO2	P00403
MT-CO3	P00414
PAH	P00439
SOD1	P00441
CP	P00450
F8	P00451
OTC	P00480
ABL1	P00519
EGFR	P00533
MOS	P00540
AK1	P00568
LALBA	P00709
F2	P00734
C1R	P00736
HP	P00738
HPR	P00739
F9	P00740
F10	P00742
CFD	P00746
PLG	P00747
F12	P00748
PLAU	P00749
PLAT	P00750
CFB	P00751
REN	P00797
ADA	P00813
MT-ATP6	P00846
CA1	P00915
CA2	P00918
SPINK1	P00995
SERPINC1	P01008
SERPINA1	P01009
A2M	P01023
C3	P01024
TIMP1	P01033
CST3	P01034
NRAS	P01111
HRAS	P01112
KRAS	P01116
PDGFB	P01127
LDLR	P01130
NGF	P01138
FSHB	P01225
CGB	P01233
PRL	P01236
GH1	P01241
GH2	P01242
TG	P01266
LTA	P01374
TNF	P01375
IFNA1;	P01562
IFNA10	P01566
IFNA7	P01567
IFNA21	P01568
IFNA5	P01569
IFNA14	P01570
IFNA17	P01571
IFNB1	P01574
IFNG	P01579
IL1B	P01584
EPO	P01588
IL2RA	P01589
nan	P01593
nan	P01594
nan	P01595
nan	P01596
nan	P01597
nan	P01598
nan	P01599
nan	P01600
IGKV1D-16	P01601
IGKV1-5	P01602
nan	P01603
nan	P01604
nan	P01605
nan	P01606
nan	P01607
nan	P01608
nan	P01609
nan	P01610
nan	P01611
nan	P01612
nan	P01613
nan	P01614
nan	P01615
nan	P01616
nan	P01617
nan	P01619
nan	P01620
nan	P01621
nan	P01622
